"nivpfs-nivos-ipipfs-ipios","ICER","ICER_PFS","INB","Incremental_Cost","Incremental_QALY"
"FP2 - RP_normal - RP_odds - gompertz",72675.012715789,178398.977147992,-10092.2494906751,84547.9291034117,1.16336999394901
"FP2 - RP_normal - RP_odds - RP_hazard",76502.698635914,178398.977147992,-14780.157529973,90438.2301960683,1.18215738540774
"FP2 - RP_normal - RP_odds - FP2",73910.3627779826,178398.977147992,-11588.859620256,86428.4020580116,1.16936785058993
"FP2 - RP_normal - RP_hazard - gompertz",60208.1329653991,167247.874907727,4441.45372590605,70522.4191800189,1.17131051415508
"FP2 - RP_normal - RP_hazard - RP_hazard",64207.0874272019,167247.874907727,-246.454313391892,76412.7202726756,1.19009790561381
"FP2 - RP_normal - RP_hazard - FP2",61498.6641823212,167247.874907727,2944.84359632514,72402.8921346189,1.177308370796
"FP2 - RP_normal - RP_normal - gompertz",77472.5860508077,173658.067280412,-15380.2243204313,88442.2446924289,1.14159406831246
"FP2 - RP_normal - RP_normal - RP_hazard",81294.4269237862,173658.067280412,-20068.1323597292,94332.5457850855,1.16038145977119
"FP2 - RP_normal - RP_normal - FP2",78706.3028965612,173658.067280412,-16876.8344500122,90322.7176470288,1.14759192495338
"FP2 - GAM - RP_odds - gompertz",72579.827338083,178398.977147992,-10167.6109328956,86011.4565097129,1.18506008713777
"FP2 - GAM - RP_odds - RP_hazard",76340.0341291679,178398.977147992,-14855.5189721935,91901.7576023695,1.2038474785965
"FP2 - GAM - RP_odds - FP2",73793.1600417954,178398.977147992,-11664.2210624765,87891.9294643128,1.19105794377869
"FP2 - GAM - RP_hazard - gompertz",60340.2430335669,167247.874907727,4366.09228368555,71985.9465863201,1.19300060734384
"FP2 - GAM - RP_hazard - RP_hazard",64265.5710041116,167247.874907727,-321.815755612435,77876.2476789768,1.21178799880257
"FP2 - GAM - RP_hazard - FP2",61606.7674477512,167247.874907727,2869.48215410464,73866.4195409201,1.19899846398476
"FP2 - GAM - RP_normal - gompertz",77286.165387747,173658.067280412,-15455.5857626519,89905.7720987301,1.16328416150122
"FP2 - GAM - RP_normal - RP_hazard",81040.8413530549,173658.067280412,-20143.4938019498,95796.0731913867,1.18207155295995
"FP2 - GAM - RP_normal - FP2",78497.9531278244,173658.067280412,-16952.1958922327,91786.24505333,1.16928201814214
"FP2 - RCS - RP_odds - gompertz",72572.8464606158,178398.977147992,-10173.2486818838,86120.942208381,1.18668271135152
"FP2 - RCS - RP_odds - RP_hazard",76328.1006194486,178398.977147992,-14861.1567211817,92011.2433010376,1.20547010281025
"FP2 - RCS - RP_odds - FP2",73784.5635492392,178398.977147992,-11669.8588114647,88001.415162981,1.19268056799244
"FP2 - RCS - RP_hazard - gompertz",60349.9332513298,167247.874907727,4360.45453469729,72095.4322849883,1.19462323155759
"FP2 - RCS - RP_hazard - RP_hazard",64269.8620717418,167247.874907727,-327.453504600649,77985.7333776449,1.21341062301632
"FP2 - RCS - RP_hazard - FP2",61614.6975650632,167247.874907727,2863.84440511638,73975.9052395882,1.20062108819851
"FP2 - RCS - RP_normal - gompertz",77272.4984532995,173658.067280412,-15461.2235116401,90015.2577973982,1.16490678571497
"FP2 - RCS - RP_normal - RP_hazard",81022.2443765398,173658.067280412,-20149.131550938,95905.5588900548,1.1836941771737
"FP2 - RCS - RP_normal - FP2",78482.676921582,173658.067280412,-16957.833641221,91895.7307519981,1.17090464235589
