Num,Value,Model,Group
3,76.58,Flexible Technique,IPI-OS
1,398.83,Stand Parametric Model,IPI-PFS
1,368.05,Stand Parametric Model,IPI-PFS
1,400.31,Stand Parametric Model,IPI-PFS
1,344.77,Stand Parametric Model,IPI-PFS
1,276.04,Stand Parametric Model,IPI-PFS
1,335.5,Stand Parametric Model,IPI-PFS
1,316.61,Stand Parametric Model,IPI-PFS
1,311.08,Flexible Technique,IPI-PFS
1,275.89,Flexible Technique,IPI-PFS
1,292.29,Flexible Technique,IPI-PFS
1,277.5,Flexible Technique,IPI-PFS
1,283.44,Flexible Technique,IPI-PFS
1,295.89,Flexible Technique,IPI-PFS
1,281.78,Flexible Technique,IPI-PFS
1,363.4,Flexible Technique,IPI-PFS
1,338.19,Flexible Technique,IPI-PFS
2,217.77,Stand Parametric Model,IPI-PFS
2,202.56,Stand Parametric Model,IPI-PFS
2,218.49,Stand Parametric Model,IPI-PFS
2,189.91,Stand Parametric Model,IPI-PFS
2,130.9,Stand Parametric Model,IPI-PFS
2,185.61,Stand Parametric Model,IPI-PFS
2,167.46,Stand Parametric Model,IPI-PFS
2,160.93,Flexible Technique,IPI-PFS
2,129.3,Flexible Technique,IPI-PFS
2,161.91,Flexible Technique,IPI-PFS
2,132.86,Flexible Technique,IPI-PFS
2,134.96,Flexible Technique,IPI-PFS
2,141.27,Flexible Technique,IPI-PFS
2,167.82,Flexible Technique,IPI-PFS
2,183.15,Flexible Technique,IPI-PFS
2,162.03,Flexible Technique,IPI-PFS
3,264.89,Stand Parametric Model,IPI-PFS
3,207.01,Stand Parametric Model,IPI-PFS
3,240.67,Stand Parametric Model,IPI-PFS
3,183.19,Stand Parametric Model,IPI-PFS
3,130.42,Stand Parametric Model,IPI-PFS
3,177.85,Stand Parametric Model,IPI-PFS
3,149.15,Stand Parametric Model,IPI-PFS
3,147.92,Flexible Technique,IPI-PFS
3,171.45,Flexible Technique,IPI-PFS
3,133.09,Flexible Technique,IPI-PFS
3,129.64,Flexible Technique,IPI-PFS
3,131.9,Flexible Technique,IPI-PFS
3,135.93,Flexible Technique,IPI-PFS
3,131.37,Flexible Technique,IPI-PFS
3,182.3,Flexible Technique,IPI-PFS
3,157.21,Flexible Technique,IPI-PFS
