"","Time","exp","weibull","gamma","lnorm","gompertz","llogis","gengamma","FP1","FP2","RCS","RP-hazard","RP-odds","RP-normal","GAM","param-mix","mix-cure"
"1",0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2",0.0416666666666667,0.978696477171372,0.922235339832428,0.930249889959532,0.931225123233558,0.930056867635176,0.922604132255455,0.990044248337613,0.911524719601235,0.913506423988738,0.984459027316628,0.986316363623105,0.986938501836891,0.987096710719592,0.982666372351657,0.997065102504792,0.984029384586894
"3",0.125,0.957846794427654,0.876662107175515,0.890083383246506,0.876779273262807,0.869231498650349,0.868554232261308,0.899957359583515,0.847548559282212,0.860689335200915,0.936945738312058,0.936290707857798,0.936822048360637,0.931288329562898,0.933075803853897,0.964738500187812,0.950448246678313
"4",0.208333333333333,0.937441283376237,0.841647093767914,0.859096608757007,0.83260760605193,0.816085403973268,0.824910208588231,0.825434300671348,0.796960959190911,0.819590390242075,0.833798254389593,0.785350397338035,0.783249007899242,0.780168619565617,0.833479335470835,0.859786688214807,0.862600329303535
"5",0.291666666666667,0.917470481595333,0.812444123278118,0.833041480934877,0.795433021217348,0.769444472072432,0.787893126450895,0.768781078607366,0.755317414253729,0.785129331466252,0.729079357990506,0.704503481450832,0.704495489327516,0.706936913332814,0.734409746086803,0.753208184592256,0.73810703822591
"6",0.375,0.897925128246075,0.787073420243023,0.810193592424392,0.763333508202283,0.72834427236756,0.755645644264339,0.724609106548355,0.720167176822425,0.755130825791451,0.675853161964208,0.672609762903498,0.671504286219102,0.672372526318975,0.679751189818224,0.691477603177152,0.66975760741121
"7",0.458333333333333,0.878796159778086,0.764481114499173,0.789651948341755,0.735097416664456,0.691987800612238,0.72705851699018,0.689050980416564,0.689966812811187,0.728416555810581,0.645024400899393,0.640051361749922,0.638837495516761,0.639219986096753,0.646290330410921,0.653386424282197,0.636531555687981
"8",0.541666666666667,0.860074705726543,0.744025456467438,0.770875472994611,0.709909357205768,0.65971260323053,0.701395704864264,0.65963549221765,0.663666786345102,0.70425991008504,0.62139011009437,0.609534079984324,0.608735383611704,0.609142442950417,0.620498245946941,0.625328450597588,0.613830600182531
"9",0.625,0.841752084598773,0.725280461807285,0.753508884948881,0.687192261248785,0.630965024471534,0.678135222065525,0.634757591132807,0.64051596458919,0.68217406182131,0.599876880245366,0.582455880753179,0.58219539337158,0.582756784107105,0.597584855657463,0.602505580148235,0.591291075426017
"10",0.708333333333333,0.823819799848478,0.707945801912291,0.737303865466582,0.666521457891179,0.60527990164921,0.656889446458086,0.613337389402518,0.619956480276466,0.661813419551841,0.578931756948885,0.559345763464301,0.559447327206938,0.560085523833277,0.576026915226077,0.583242404817646,0.56853365897295
