"","","2019","2019","2019","2015","2015","2015","2010","2010","2010","2005","2005","2005","2000","2000","2000"
"Indicator","Age Group"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"nqx - probability of dying between ages x and x+n"," 10-14 years","0.000762635","0.000890368","0.000629152","0.000728953","0.000841781","0.000610968","0.000716258","0.000819435","0.000608082","0.000929221","0.001103313","0.000746115","0.001004382","0.001202023","0.000797154"
"nqx - probability of dying between ages x and x+n"," 15-19  years","0.002384068","0.003301246","0.001428669","0.002385811","0.003297582","0.001433441","0.002473695","0.003482185","0.001408272","0.003249097","0.004553918","0.001864882","0.003403744","0.004744604","0.001990058"
"nqx - probability of dying between ages x and x+n"," 20-24 years","0.00448161","0.006479777","0.002404608","0.004412173","0.006441772","0.002282949","0.004329339","0.006329591","0.002236127","0.005071198","0.007543111","0.002476461","0.004670646","0.006905044","0.002340887"
"nqx - probability of dying between ages x and x+n"," 25-29 years","0.005809394","0.008162824","0.00335593","0.005308838","0.007497485","0.003033774","0.004911527","0.006942687","0.002839097","0.005122728","0.007431585","0.002790228","0.004586538","0.006468534","0.002653708"
"nqx - probability of dying between ages x and x+n"," 30-34 years","0.007385121","0.009782829","0.004912667","0.006471653","0.008664511","0.004243206","0.005563933","0.007474954","0.003646915","0.005749789","0.007710996","0.003766578","0.005530037","0.0072748","0.003709275"
"nqx - probability of dying between ages x and x+n"," 35-39 years","0.00888388","0.011374898","0.006370365","0.007772065","0.009999339","0.005543198","0.007021648","0.008855263","0.005191888","0.007584011","0.00954582","0.005567534","0.007993361","0.010143206","0.005776624"
"nqx - probability of dying between ages x and x+n"," 40-44 years","0.010565732","0.013079019","0.008064154","0.010321596","0.012664388","0.00798898","0.01001971","0.012203709","0.007790259","0.011842245","0.014657002","0.008972671","0.011921926","0.015100637","0.008725694"
"nqx - probability of dying between ages x and x+n"," 45-49 years","0.015096694","0.018156156","0.012051218","0.015323561","0.018327671","0.012268312","0.01629118","0.019794218","0.01274394","0.017753012","0.022087658","0.013431784","0.017348008","0.022246784","0.012509713"
"nqx - probability of dying between ages x and x+n"," 50-54 years","0.023660371","0.02813621","0.019131261","0.024585484","0.029720821","0.019419568","0.02449387","0.030181212","0.018882836","0.025712463","0.032565813","0.019012557","0.025254017","0.031848243","0.018923717"
"nqx - probability of dying between ages x and x+n"," 55-59 years","0.038251986","0.0462538","0.03031961","0.036342662","0.044818072","0.028075213","0.034906347","0.044151664","0.026015","0.036467295","0.045848196","0.027576133","0.039297176","0.049301841","0.030021816"
"nqx - probability of dying between ages x and x+n"," 60-64 years","0.052341116","0.065027625","0.040229699","0.051012481","0.063830006","0.03890588","0.050015178","0.062242982","0.038625439","0.055831842","0.06926611","0.043590499","0.059657212","0.072278541","0.047738574"
"nqx - probability of dying between ages x and x+n"," 65-69 years","0.071795623","0.087794449","0.057122664","0.072282554","0.088682135","0.057361516","0.074651711","0.091455868","0.059708195","0.080196768","0.095665292","0.06597388","0.091765966","0.11206624","0.07388433"
