"","hazKM","Time","AtRisk","Events","hazLT","lnTime","MyId","EventsL","surv","timedelta","exp","weibull","gamma","lnorm","gompertz","llogis","gengamma","FP1","FP2","RCS","RP-hazard","RP-odds","RP-normal","GAM","param-mix","mix-cure"
"1",0.0127186009538951,0.0416666666666667,314.5,4,0.0128,-3.17805383034795,1,0,0.987281399046105,0.0833333333333333,0.0316068780390813,0.0297967503094397,0.0267068404765551,0.0117470446708154,0.0360707302523351,0.0208014268622139,0.0115575418810301,0.0127190451629211,0.0241482473879131,0.0122937596591555,0.0101706123578452,0.00999944056177589,0.0106054833746771,0.0318375692563279,0.0135978373147893,0.011324078229774
"2",0.0194174757281553,0.125,309,6,0.0196078431372549,-2.07944154167984,2,4,0.968110886443268,0.0833333333333333,0.0316068780390813,0.0304559941290649,0.0287146974276375,0.02928248896389,0.0357175292405593,0.0281969657230946,0.0292908682804029,0.0293947564236612,0.0280630493435786,0.0245809185943218,0.0289725073837737,0.029065082592796,0.0310490879264584,0.0321956486713433,0.0203492936979077,0.0289323230515448
"3",0.0497512437810945,0.208333333333333,301.5,15,0.0510204081632653,-1.56861591791385,3,6,0.919946165724697,0.0833333333333333,0.0316068780390813,0.0307674732650629,0.029631287146221,0.0361997778961838,0.035367786738047,0.0318837494433706,0.0363037807792535,0.0314208938055916,0.0300836998504529,0.0409162673281697,0.0387197294739105,0.0389937803736677,0.0380851244670702,0.0325480046552154,0.148378206459728,0.0362008922689336
"4",0.0524475524475524,0.291666666666667,286,15,0.0538599640933573,-1.23214368129263,4,15,0.871697240948927,0.0833333333333333,0.0316068780390813,0.0309743774929459,0.0302170573866853,0.0389738078877083,0.0350214688794187,0.0341186996900849,0.0391049217469439,0.0320028571905068,0.0314798453622036,0.0495525144983211,0.0421445730159384,0.0422798685729364,0.039743899006139,0.0328867361277351,0.0385541282018909,0.039200823751876
"5",0.033271719038817,0.375,270.5,9,0.0338345864661654,-0.980829253011726,5,15,0.842694375261162,0.0833333333333333,0.0316068780390813,0.0311298235128609,0.0306409644612475,0.0399249068900957,0.0346785421309012,0.035526712638576,0.0400548051186055,0.0322454153622867,0.0325454276936454,0.042850799289016,0.0418662349911448,0.04175810453242,0.0392955691902024,0.0332036450166944,0.0318110646297344,0.0402776344705772
"6",0.0268714011516315,0.458333333333333,260.5,7,0.0272373540856031,-0.780158557549575,6,9,0.820049996655296,0.0833333333333333,0.0316068780390813,0.0312545047183369,0.030969073499894,0.0399918312290943,0.0343389732870808,0.036394801502072,0.0401090882110433,0.0323688861029763,0.0333965426148105,0.033501883312776,0.0395458924776725,0.039274620326878,0.0379993467171549,0.0334902788132967,0.0319776115345325,0.0404063047755959
"7",0.0355731225296443,0.541666666666667,253,9,0.0362173038229376,-0.613104472886409,7,7,0.790878257643843,0.0833333333333333,0.0316068780390813,0.0313586799810693,0.0312341032980484,0.0396057574007511,0.0340027294676879,0.036885684449236,0.0397061479966808,0.0324401104768788,0.0340898837484931,0.0296016637982023,0.0367687110030181,0.0365032358562244,0.0366763082895708,0.0337379934332809,0.0327461611970453,0.040041819447879
"8",0.0286885245901639,0.625,244,7,0.0291060291060291,-0.470003629245736,8,9,0.768189127301601,0.0833333333333333,0.0316068780390813,0.0314481940277245,0.0314546287407275,0.0389832591052835,0.0336697781144131,0.0371029140097466,0.0390657429826023,0.0324848758149297,0.0346563419147292,0.0296859781237934,0.03498216902062,0.0348518393405557,0.0359408506677298,0.0339380369684762,0.0334016216931994,0.0394153863707645
"9",0.0421940928270042,0.708333333333333,237,10,0.0431034482758621,-0.344840486291729,9,7,0.735776083955542,0.0833333333333333,0.0316068780390813,0.0315266969405828,0.0316421909926877,0.0382401554679056,0.0333400869877549,0.037117216575393,0.0383051177677623,0.0325148269846666,0.035113738595915,0.0319388403197953,0.0340901833842174,0.0341243121819352,0.0356506957535074,0.0340816544414986,0.0338659911314999,0.0386518871838341
"10",0.039647577092511,0.791666666666667,227,9,0.0404494382022472,-0.233614851181505,10,10,0.706604344944089,0.0833333333333333,0.0316068780390813,0.0315966226141527,0.0318044385916968,0.0374411277947752,0.0330136241638977,0.036979173110727,0.0374895692215401,0.0325358442546167,0.0354725834376642,0.0348413535006478,0.0339255805761224,0.0340925288077145,0.0356816017389197,0.0341602130732472,0.0341549226815964,0.0378217393224299
