"","hazKM","Time","AtRisk","Events","hazLT","lnTime","MyId","EventsL","surv","timedelta","exp","weibull","gamma","lnorm","gompertz","llogis","gengamma","FP1","FP2","RCS","RP-hazard","RP-odds","RP-normal","GAM","param-mix","mix-cure"
"1",0.0417335473515249,0.0416666666666667,311.5,13,0.0426229508196721,-3.17805383034795,1,0,0.958266452648475,0.0833333333333333,0.036780838066106,0.0840938116872952,0.0766389752224885,0.0776078835928564,0.0847606678393232,0.082057089377499,0.0724406671591588,0.0987196211769151,0.0867213413015129,0.0270900236349447,0.0247943238826942,0.0239940092395616,0.026346953423972,0.02897807530709,0.0526714314364429,0.0290912344205401
"2",0.0511073253833049,0.125,293.5,15,0.0524475524475524,-2.07944154167984,2,13,0.909292017249064,0.0833333333333333,0.036780838066106,0.0593267857081964,0.0537291800006782,0.0722510272678736,0.0780958777770725,0.0687963552778337,0.091124609188113,0.0786865309827427,0.0672720552040511,0.0980144298414388,0.0816447428617391,0.0833876410542928,0.0919545634647135,0.0963032849390893,0.0577792748186909,0.0791760849330975
"3",0.190127970749543,0.208333333333333,273.5,52,0.21010101010101,-1.56861591791385,3,15,0.736410171190741,0.0833333333333333,0.036780838066106,0.050443032153997,0.046020777687258,0.0637679144705589,0.0719551447769733,0.061492205751983,0.0783661909064467,0.0672197997325013,0.0596914436611965,0.130933663918151,0.177528925541115,0.172825522351717,0.155939918799337,0.12813054167171,0.188251090795617,0.157225060140085
"4",0.0413793103448276,0.291666666666667,217.5,9,0.0422535211267606,-1.23214368129263,4,52,0.705938026175952,0.0833333333333333,0.036780838066106,0.0453311979528997,0.0417530953414768,0.0571440343555122,0.0662972618689897,0.0562047038870483,0.0670555885783504,0.0591019925728874,0.0550954582203727,0.0815028903958942,0.0752371548778323,0.075015200036457,0.0771568774732588,0.0833961986682191,0.0501768578832399,0.100218598058263
"5",0.0632603406326034,0.375,205.5,13,0.0653266331658292,-0.980829253011726,5,9,0.661280146174553,0.0833333333333333,0.036780838066106,0.0418540607429501,0.0389346675858159,0.0519756438515194,0.0610842622157014,0.0520222607286141,0.0583434270221371,0.0528547653533168,0.051804266043224,0.0596077066805642,0.0513044343833627,0.0525468366332215,0.0557757178609967,0.0614316394122638,0.044746752580259,0.0521788188419251
"6",0.0582010582010582,0.458333333333333,189,11,0.0599455040871935,-0.780158557549575,6,13,0.622792941899844,0.0833333333333333,0.036780838066106,0.039270139807383,0.0368911009163945,0.0478341597457105,0.0562811643384304,0.0485616965926115,0.0516001963939463,0.0478177275620785,0.0492086749482969,0.0494546670515251,0.0499642996077375,0.0499534478912943,0.0500957810807526,0.0502321995043079,0.0404319145950141,0.0396012744757567
"7",0.0455840455840456,0.541666666666667,175.5,8,0.0466472303206997,-0.613104472886409,7,11,0.59440352004686,0.0833333333333333,0.036780838066106,0.0372411832735554,0.0353203597548808,0.0444310970048885,0.0518557373764139,0.0456180116737877,0.0462647829309981,0.0436316701660602,0.0470193485832046,0.0433625565950189,0.0471230980647693,0.0465532681642998,0.0455864394110294,0.043331616069045,0.0369324224719466,0.041976934472001
"8",0.00600600600600601,0.625,166.5,1,0.00602409638554217,-0.470003629245736,8,8,0.590833528935467,0.0833333333333333,0.036780838066106,0.0355867203427522,0.0340637354634819,0.0415756255200789,0.0477782848038108,0.0430658070752505,0.0419480896737301,0.0400774086585006,0.0450756452277849,0.0387887369620296,0.0435376134928789,0.0428920590498378,0.041900705479091,0.0383931455843278,0.0340373764300546,0.042561036364461
"9",0.0606060606060606,0.708333333333333,165,10,0.0625,-0.344840486291729,9,1,0.555025436272712,0.0833333333333333,0.036780838066106,0.0342000157826286,0.0330285948299372,0.0391380753707462,0.0440214451531905,0.040821572011198,0.0383862276877479,0.037010594531556,0.0432788763287881,0.035242478934425,0.0396176877756417,0.0392355425814573,0.0388076455639268,0.0347459309606369,0.0316005674401158,0.041165936154877
"10",0.0387096774193548,0.791666666666667,155,6,0.0394736842105263,-0.233614851181505,10,10,0.533540580675058,0.0833333333333333,0.036780838066106,0.0330131385730353,0.0321566704531737,0.0370274798224777,0.0405600084082716,0.0388263460209419,0.0353973011481699,0.0343308235482598,0.0415642191166918,0.0324089815516975,0.0359427368842244,0.0358075966094069,0.0358706620495089,0.0319569988894306,0.0295189372296234,0.0386112786025656
"11",0.0269360269360269,0.875,148.5,4,0.0273037542662116,-0.133531392624523,11,6,0.519169117222531,0.0833333333333333,0.036780838066106,0.0319804063210732,0.0314091934699376,0.0351781056146587,0.0373707468338266,0.0370366950066426,0.0328528784475608,0.0319653202543613,0.0398873299607287,0.0300573521382045,0.032659740617183,0.0326667614680688,0.0330018293740457,0.0297180838727416,0.0277181689723794,0.0354024053947052
"12",0.0487804878048781,0.958333333333333,143.5,7,0.05,-0.0425596144187959,12,4,0.493843794431188,0.0833333333333333,0.036780838066106,0.0310697501899373,0.0307592131735741,0.0335411997141768,0.0344322591075486,0.0354195738249191,0.0306600441120405,0.0298596074715737,0.0382173737714461,0.028012871946015,0.0297140336538486,0.0297982515652107,0.0302531888956582,0.0277991315880548,0.0261434400250138,0.0318720088976621
"13",0.0147058823529412,1.04166666666667,136,2,0.0148148148148148,0.0408219945202552,13,7,0.486581385689553,0.0833333333333333,0.036780838066106,0.0302578684665996,0.0301873237313471,0.03207977535529,0.0317248267079378,0.0339491965683244,0.0287500456159187,0.0279718341024686,0.0365331435896245,0.0261572553414079,0.0270605767233591,0.0271818386940846,0.0276496821187455,0.0260466372917374,0.0247534520131272,0.0285746639051064
"14",0.0223880597014925,1.125,134,3,0.0226415094339623,0.117783035656383,14,2,0.475687772577101,0.0833333333333333,0.036780838066106,0.0295273438424718,0.0296791425970587,0.0307652152305849,0.0292302815945073,0.0326050264861106,0.0270709678682163,0.0262691553861295,0.0348207764938164,0.024456290521142,0.0246619253763098,0.0247956570009041,0.0252010232298734,0.0244243178489361,0.0235165030489605,0.0257909646383318
