"","hazKM","Time","AtRisk","Events","hazLT","lnTime","MyId","EventsL","surv","timedelta","exp","weibull","gamma","lnorm","gompertz","llogis","gengamma","FP1","FP2","RCS","RP-hazard","RP-odds","RP-normal","GAM","param-mix","mix-cure"
"1",0.0126984126984127,0.0416666666666667,315,4,0.012779552715655,-3.17805383034795,1,0,0.987301587301587,0.0833333333333333,0.0240932129581015,0.0451991524356934,0.0407630004865797,0.0179708628566083,0.0414959808168485,0.0285328484401373,0.00699983594701507,0.0406207229357404,0.0110526263916492,0.0266039812973771,0.010862122442794,0.0105284458745211,0.00967339534002957,0.028935755522186,0.00844984179045802,0.00847740730803181
"2",0.0161030595813204,0.125,310.5,5,0.0162337662337662,-2.07944154167984,2,4,0.971403011016538,0.0833333333333333,0.0240932129581015,0.0368113079399133,0.0333122251099533,0.0332423772315208,0.0405021019771039,0.0329634092064503,0.0321123861659239,0.0396713723686173,0.0307642392860673,0.0282215329516078,0.0281339136900009,0.0283457503680564,0.0309520359736268,0.0301004630562184,0.0282770455101616,0.028003774974115
"3",0.0623973727422003,0.208333333333333,304.5,19,0.0644067796610169,-1.56861591791385,3,5,0.910790015255243,0.0833333333333333,0.0240932129581015,0.0334602594734215,0.0304844753249109,0.0373221957801264,0.039532027735507,0.0345750512772075,0.0415958520463664,0.0387437583469835,0.0367822506728632,0.0299023169073977,0.0375209399936845,0.0381179899329641,0.0388960080035263,0.0312863334872754,0.0376111992646449,0.0374644302384749
"4",0.0351493848857645,0.291666666666667,284.5,10,0.035778175313059,-1.23214368129263,4,19,0.878776306458925,0.0833333333333333,0.0240932129581015,0.031421405458669,0.0288250277622409,0.0382148438323305,0.0385851879431923,0.0352313553240149,0.0441320978988994,0.0378374043117473,0.0390137377911083,0.031594924322606,0.0416180254980107,0.0421148156936775,0.0409712211725187,0.0324549437017157,0.0416222965990143,0.0416001813321372
"5",0.0402930402930403,0.375,273,11,0.0411214953271028,-0.980829253011726,5,10,0.843367737334207,0.0833333333333333,0.0240932129581015,0.029980039872983,0.0276863260051725,0.0379387476847343,0.0376610261070479,0.0354011572785781,0.0440245679714297,0.0369518431540813,0.0397657619927079,0.033236471135418,0.0424962217024144,0.0426216337004194,0.0406602815720755,0.0335623162502642,0.0430747616542386,0.0431350828998045
"6",0.0230769230769231,0.458333333333333,260,6,0.0233463035019455,-0.780158557549575,6,11,0.823905404934186,0.0833333333333333,0.0240932129581015,0.0288767551294227,0.0268370797639547,0.0371885879153724,0.0367589990626439,0.0352845701197969,0.0428783818574826,0.0360866170763802,0.0398063299158548,0.034753371315549,0.041461828232841,0.0411697560456007,0.0393613624151067,0.0345596362373289,0.043225100221203,0.0433330359352435
"7",0.0355731225296443,0.541666666666667,253,9,0.0362173038229376,-0.613104472886409,7,6,0.794596517011626,0.0833333333333333,0.0240932129581015,0.027989327239684,0.0261697584312384,0.0362476298294204,0.0358785766549942,0.0349874448904091,0.0413404531260481,0.0352412774527357,0.0394611060608042,0.0360632455841611,0.0393267727754229,0.0387040288174891,0.0376764792594127,0.0353944137429539,0.0426849770173778,0.0428162465951658
"8",0.0368852459016393,0.625,244,9,0.0375782881002088,-0.470003629245736,8,9,0.765287629089066,0.0833333333333333,0.0240932129581015,0.0272508630992125,0.0256262004899456,0.0352432931988441,0.0350192414269647,0.0345727439772856,0.0396897064333418,0.0344153846890996,0.0388910262824623,0.0370790618905116,0.037196090051802,0.036466575229084,0.0362846250214396,0.0360127678699737,0.0417729720061414,0.0419113058943655
"9",0.0340425531914894,0.708333333333333,235,8,0.0346320346320346,-0.344840486291729,9,9,0.739235284269013,0.0833333333333333,0.0240932129581015,0.0266209563899952,0.0251716488564266,0.0342360259871893,0.0341804883151443,0.0340807255419453,0.0380506041966707,0.0336085080832962,0.0381843948027766,0.0377493205664071,0.0356458428165253,0.0350172071459519,0.0354348496409562,0.0363855964353207,0.0406640259908819,0.0407986740725343
"10",0.0440528634361234,0.791666666666667,227,10,0.045045045045045,-0.233614851181505,10,8,0.706669853243946,0.0833333333333333,0.0240932129581015,0.0260734219115651,0.0247838021413251,0.0332549382647027,0.0333618243530006,0.0335383810291874,0.0364781819586369,0.0328202256850388,0.037393464748999,0.0380834134386121,0.0346197236536795,0.034203412015081,0.0349889447239387,0.0365237927317782,0.0394580284920515,0.0395819745408203
"11",0.0369515011547344,0.875,216.5,8,0.0376470588235294,-0.133531392624523,11,10,0.680557341345787,0.0833333333333333,0.0240932129581015,0.0255903699497367,0.0244475654580987,0.0323135997734105,0.0325627683811446,0.0329643992931497,0.0349947716186207,0.0320501241560889,0.0365509536492738,0.038105372435755,0.034038069732228,0.0338808156645256,0.0348412571868166,0.0364461382097777,0.038213572469016,0.038322334452131
"12",0.0240384615384615,0.958333333333333,208,5,0.024330900243309,-0.0425596144187959,12,8,0.664197789871128,0.0833333333333333,0.0240932129581015,0.0251590640942982,0.0241522865279555,0.0314175799375661,0.0317828507645357,0.032372008837445,0.0336068997838878,0.0312977986306947,0.0356782516746167,0.0378473585322197,0.0338259431052734,0.0339325486102957,0.034914477253749,0.0361752432753682,0.0369655675593054,0.0370563995147404
"13",0.0443349753694581,1.04166666666667,203,9,0.0453400503778338,0.0408219945202552,13,5,0.634750597216743,0.0833333333333333,0.0240932129581015,0.02477013182098,0.0238901920762696,0.0305682509143191,0.0310216131164594,0.031770711825828,0.0323134453606745,0.0305628525764309,0.0347898182792016,0.0373472002779956,0.0339206888083615,0.0342686315088884,0.0351525257099977,0.0357363430698655,0.0357348872102121,0.0358062444505544
