"","hazKM","Time","AtRisk","Events","hazLT","lnTime","MyId","EventsL","surv","timedelta","exp","weibull","gamma","lnorm","gompertz","llogis","gengamma","FP1","FP2","RCS","RP-hazard","RP-odds","RP-normal","GAM","param-mix","mix-cure"
"1",0.0191082802547771,0.0416666666666667,314,6,0.0192926045016077,-3.17805383034795,1,0,0.980891719745223,0.0833333333333333,0.0165005622771203,0.0324299697206284,0.0310488194206744,0.025829109138492,0.030467989755456,0.0300563465049756,0.0222867886316662,0.0294599954744275,0.0172458287489811,0.0243765362537092,0.0175162631382527,0.0178271638585188,0.0205866380134806,0.0233135041195997,0.018449256881761,0.0210822003385548
"2",0.0194805194805195,0.125,308,6,0.019672131147541,-2.07944154167984,2,6,0.961783439490446,0.0833333333333333,0.0165005622771203,0.0252143732227787,0.023973439983749,0.0282731514575727,0.0291024661681022,0.0260289690227162,0.0314060750258113,0.0282115084283446,0.0230187606551361,0.0243132093042914,0.0280493058708361,0.0279935311504808,0.0310219655597298,0.0238561075740793,0.0250239623755955,0.0244447864095802
"3",0.0198675496688742,0.208333333333333,302,6,0.020066889632107,-1.56861591791385,3,6,0.942675159235669,0.0833333333333333,0.0165005622771203,0.0224298996623249,0.0213596554199991,0.0268879869502669,0.027798143030223,0.0240522375127911,0.0304610522740291,0.0270151916729678,0.0254737017943579,0.0242341910416591,0.0307112610475641,0.0304608191176575,0.0310500219462352,0.024347695960765,0.0274803043981111,0.0256496363382768
"4",0.0405405405405405,0.291666666666667,296,12,0.0413793103448276,-1.23214368129263,4,6,0.904458598726115,0.0833333333333333,0.0165005622771203,0.0207659830519343,0.0198418041983393,0.0252636980930078,0.0265522774415487,0.0226762276828877,0.0283683463848139,0.0258689271692578,0.0264953412110162,0.0241273202566328,0.0306786725390942,0.0302976760766426,0.0292710298214297,0.0247343848178396,0.0282518391617412,0.0260725460705181
"5",0.0105820105820106,0.375,283.5,3,0.0106382978723404,-0.980829253011726,5,12,0.894887608263405,0.0833333333333333,0.0165005622771203,0.019604230978149,0.0188060029891549,0.023775231070057,0.0253622494339443,0.0215985001880383,0.0262955582787865,0.0247706776404733,0.0267088805565987,0.0239807238142194,0.0295280868427113,0.0290714761093246,0.0272168162760161,0.0249602244246084,0.0281075866159595,0.026061065848267
"6",0.0429338103756708,0.458333333333333,279.5,12,0.0438756855575868,-0.780158557549575,6,3,0.856466673382686,0.0833333333333333,0.0165005622771203,0.0187234360958511,0.0180359211546726,0.0224636100784004,0.0242255564617997,0.0207027412306509,0.0244431725364094,0.0237184839408929,0.0264240468340115,0.0237829834152682,0.0279007100536562,0.0274217549314624,0.0252561257010036,0.0249700256349388,0.0274300270446312,0.0257667003290466
"7",0.0187265917602996,0.541666666666667,267,5,0.0189035916824197,-0.613104472886409,7,12,0.840427971633946,0.0833333333333333,0.0165005622771203,0.018020454187207,0.0174318785798859,0.021312754213325,0.0231398081393514,0.0199313354802134,0.0228241458288353,0.0227104624700059,0.0258207931147128,0.023523356145526,0.0260936457044198,0.0256398166870904,0.0234769267368818,0.0247252988423857,0.0264417737044201,0.0252731705293284
"8",0.0229007633587786,0.625,262,6,0.0231660231660232,-0.470003629245736,8,5,0.821181529535459,0.0833333333333333,0.0165005622771203,0.0174392966230737,0.0169403127584073,0.0202983165806701,0.0221027212138687,0.0192512625171796,0.021411668103921,0.0217448026355364,0.0250129593109342,0.0231920417988473,0.024254034206966,0.0238644020251073,0.0218870714581822,0.0242470757528015,0.0252815199912141,0.0246337590649998
"9",0.00782778864970646,0.708333333333333,255.5,2,0.00785854616895874,-0.344840486291729,9,6,0.814753494079213,0.0833333333333333,0.0165005622771203,0.0169463735888583,0.0165293770482249,0.0193979311479117,0.0211121147641328,0.0186416876573152,0.0201738246817822,0.020819764368115,0.024076333074003,0.0227804868182041,0.0224566398004205,0.0221613747924124,0.0204710371107906,0.0235756127690768,0.0240382985294972,0.0238857383265352
"10",0.0434782608695652,0.791666666666667,253,11,0.0444444444444444,-0.233614851181505,10,2,0.779329429119247,0.0833333333333333,0.0165005622771203,0.0165200439409557,0.0161787201679708,0.0185929953944226,0.0201659056141123,0.018088533316515,0.0190820047991156,0.0199336756899214,0.0230630166631531,0.0222817111871583,0.020738911525592,0.0205599712509279,0.0192079075267405,0.0227532009541939,0.0227698048843322,0.0230569693698769
